Feature,Importance,Std
f4,1.1838573224162776,0.05906495609333899
f3,0.11331591229837971,0.03742074264519117
f9,0.052171424166004954,0.14279684763991096
f0,0.03111914616365752,0.21255775520294562
f5,0.018544873253706722,0.04917776375114574
f10,-0.01386961217092401,0.04978477035206415
f1,-0.04531380220105182,0.0271825654451742
f7,-0.05423291253607765,0.01374432649381739
f11,-0.09645349479021625,0.12210373227848394
f6,-0.265918581171744,0.3115732628257883
f8,-0.6705510602737258,0.5696028167781387
f2,-0.693573997412089,0.3911154502419213
